geoid,NAME,B25002_001E,B25002_002E,B25002_003E,state,county,tract,block group,table
360670054004,"Block Group 4, Census Tract 54, Onondaga County, New York",406,264,142,36,067,005400,4,b25002
360670054001,"Block Group 1, Census Tract 54, Onondaga County, New York",244,165,79,36,067,005400,1,b25002
360670060001,"Block Group 1, Census Tract 60, Onondaga County, New York",216,147,69,36,067,006000,1,b25002
360670106002,"Block Group 2, Census Tract 106, Onondaga County, New York",569,511,58,36,067,010600,2,b25002
360670111011,"Block Group 1, Census Tract 111.01, Onondaga County, New York",550,492,58,36,067,011101,1,b25002
360670111015,"Block Group 5, Census Tract 111.01, Onondaga County, New York",613,613,0,36,067,011101,5,b25002
360670138001,"Block Group 1, Census Tract 138, Onondaga County, New York",581,520,61,36,067,013800,1,b25002
360670166001,"Block Group 1, Census Tract 166, Onondaga County, New York",571,516,55,36,067,016600,1,b25002
360670124003,"Block Group 3, Census Tract 124, Onondaga County, New York",403,403,0,36,067,012400,3,b25002
360670059001,"Block Group 1, Census Tract 59, Onondaga County, New York",417,294,123,36,067,005900,1,b25002
360670101001,"Block Group 1, Census Tract 101, Onondaga County, New York",500,406,94,36,067,010100,1,b25002
360670110113,"Block Group 3, Census Tract 110.11, Onondaga County, New York",572,539,33,36,067,011011,3,b25002
360670045004,"Block Group 4, Census Tract 45, Onondaga County, New York",488,287,201,36,067,004500,4,b25002
360670045003,"Block Group 3, Census Tract 45, Onondaga County, New York",383,363,20,36,067,004500,3,b25002
360670110222,"Block Group 2, Census Tract 110.22, Onondaga County, New York",574,574,0,36,067,011022,2,b25002
360670112311,"Block Group 1, Census Tract 112.31, Onondaga County, New York",450,450,0,36,067,011231,1,b25002
360670112313,"Block Group 3, Census Tract 112.31, Onondaga County, New York",688,665,23,36,067,011231,3,b25002
360670113001,"Block Group 1, Census Tract 113, Onondaga County, New York",397,341,56,36,067,011300,1,b25002
360670114011,"Block Group 1, Census Tract 114.01, Onondaga County, New York",372,354,18,36,067,011401,1,b25002
360670112422,"Block Group 2, Census Tract 112.42, Onondaga County, New York",373,373,0,36,067,011242,2,b25002
360670125002,"Block Group 2, Census Tract 125, Onondaga County, New York",691,683,8,36,067,012500,2,b25002
360670131004,"Block Group 4, Census Tract 131, Onondaga County, New York",527,519,8,36,067,013100,4,b25002
360670131002,"Block Group 2, Census Tract 131, Onondaga County, New York",440,429,11,36,067,013100,2,b25002
360670154003,"Block Group 3, Census Tract 154, Onondaga County, New York",406,406,0,36,067,015400,3,b25002
360670165021,"Block Group 1, Census Tract 165.02, Onondaga County, New York",439,409,30,36,067,016502,1,b25002
360670165023,"Block Group 3, Census Tract 165.02, Onondaga County, New York",376,361,15,36,067,016502,3,b25002
360670015002,"Block Group 2, Census Tract 15, Onondaga County, New York",427,342,85,36,067,001500,2,b25002
360670128003,"Block Group 3, Census Tract 128, Onondaga County, New York",529,491,38,36,067,012800,3,b25002
360670120001,"Block Group 1, Census Tract 120, Onondaga County, New York",698,578,120,36,067,012000,1,b25002
360670132001,"Block Group 1, Census Tract 132, Onondaga County, New York",512,430,82,36,067,013200,1,b25002
360670165011,"Block Group 1, Census Tract 165.01, Onondaga County, New York",752,673,79,36,067,016501,1,b25002
360670009003,"Block Group 3, Census Tract 9, Onondaga County, New York",735,647,88,36,067,000900,3,b25002
